service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-24,200D.817.158.60.H.8.91200255,2000336,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,200D.817.158.60.H.8.91200255,2000393,NSN_1a,T1,-1,1,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,200D.817.158.60.H.8.91200255,2000404,NSN_1a,T1,-1,2,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,416E.817.158.32.H.8.91203347,2216161,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,416E.817.158.32.H.8.91203347,220591,ESI_2a,T4,-1,1,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,416E.817.158.32.H.8.91203347,2205113,ESI_2a,T4,-1,2,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,158D.817.158.32.A.8.91202358,2077301,NSN_2k,T1,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,158D.817.158.32.A.8.91202358,2077311,NSN_2k,T1,-1,1,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,158D.817.158.32.A.8.91202358,2076241,NSN_2k,T1,-1,2,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,149D.817.158.32.A.8.91200746,2060103,NSN_1a,T1,-1,0,5,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,614E.817.158.32.T.8.91200715,2226112,ESI_1d,T4,-1,0,32,32,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,614E.817.158.32.T.8.91200715,2232293,ESI_1d,T4,-1,1,32,2,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,614E.817.158.32.T.8.91200715,2232272,ESI_1d,T4,-1,2,2,2,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,195E.817.158.48.B.8.91202082,2077311,NSN_2k,T1,-1,0,36,66,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,195E.817.158.48.B.8.91202082,2076241,NSN_2k,T1,-1,1,66,66,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,195E.817.158.48.B.8.91202082,2074191,NSN_2k,T1,-1,2,66,66,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,611U.817.158.16.T.8.91201924,2223291,ESI_2d,T4,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,103F.817.158.48.T.8.91203640,2141312,WST_1b,T1,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,103F.817.158.48.T.8.91203640,2150412,WST_1b,T1,-1,1,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,103F.817.158.48.T.8.91203640,2145664,WST_1b,T1,-1,2,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,326B.817.158.32.H.4.91200902,202292,ESI_1a,T4,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,326B.817.158.32.H.4.91200902,202761,ESI_1a,T4,-1,1,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,326B.817.158.32.H.4.91200902,201171,ESI_1a,T4,-1,2,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,610C.817.158.96.T.8.91203986,2230211,ESI_2d,T4,-1,0,33,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,610C.817.158.96.T.8.91203986,2230221,ESI_2d,T4,-1,1,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,610C.817.158.96.T.8.91203986,2229221,ESI_2d,T4,-1,2,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,157E.817.158.32.A.8.91204307,2074191,NSN_2k,T1,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,157E.817.158.32.A.8.91204307,2074181,NSN_2k,T1,-1,1,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,157E.817.158.32.A.8.91204307,2073161,NSN_2k,T1,-1,2,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
2026-09-24,608C.817.158.48.T.8.91205187,2233292,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-23T23:00:38.648393+00:00
